; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.699132350,0.012132350,0,0,0,1,0
'2026-07-31 10:59:07.699279350,0.012279350,0,0,0,0,1
'2026-07-31 10:59:07.699282300,0.012282300,0,0,0,0,0
'2026-07-31 10:59:07.699282350,0.012282350,0,0,0,1,0
'2026-07-31 10:59:07.699429350,0.012429350,0,0,0,0,1
'2026-07-31 10:59:07.699432300,0.012432300,0,0,0,0,0
'2026-07-31 10:59:07.699432350,0.012432350,0,0,0,1,0
'2026-07-31 10:59:07.699579350,0.012579350,0,0,0,0,1
'2026-07-31 10:59:07.699582300,0.012582300,0,0,0,0,0
'2026-07-31 10:59:07.699582350,0.012582350,0,0,0,1,0
'2026-07-31 10:59:07.699729350,0.012729350,0,0,0,0,1
'2026-07-31 10:59:07.699732300,0.012732300,0,0,0,0,0
'2026-07-31 10:59:07.699732350,0.012732350,0,0,0,1,0
'2026-07-31 10:59:07.699879350,0.012879350,0,0,0,0,1
'2026-07-31 10:59:07.699882300,0.012882300,0,0,0,0,0
'2026-07-31 10:59:07.699882350,0.012882350,0,0,0,1,0
'2026-07-31 10:59:07.700029350,0.013029350,0,0,0,0,1
'2026-07-31 10:59:07.700032300,0.013032300,0,0,0,0,0
'2026-07-31 10:59:07.700032350,0.013032350,0,0,0,1,0
'2026-07-31 10:59:07.700179350,0.013179350,0,0,0,0,1
'2026-07-31 10:59:07.700182300,0.013182300,0,0,0,0,0
'2026-07-31 10:59:07.700182350,0.013182350,0,0,0,1,0
'2026-07-31 10:59:07.700329350,0.013329350,0,0,0,0,1
'2026-07-31 10:59:07.700332300,0.013332300,0,0,0,0,0
'2026-07-31 10:59:07.700332350,0.013332350,0,0,0,1,0
'2026-07-31 10:59:07.700479300,0.013479300,0,0,0,0,1
'2026-07-31 10:59:07.700482300,0.013482300,0,0,0,1,0
'2026-07-31 10:59:07.700629300,0.013629300,0,0,0,0,1
'2026-07-31 10:59:07.700632300,0.013632300,0,0,0,1,0
'2026-07-31 10:59:07.700779300,0.013779300,0,0,0,0,1
'2026-07-31 10:59:07.700782300,0.013782300,0,0,0,1,0
'2026-07-31 10:59:07.700929300,0.013929300,0,0,0,0,1
'2026-07-31 10:59:07.700932300,0.013932300,0,0,0,1,0
'2026-07-31 10:59:07.701079300,0.014079300,0,0,0,0,1
'2026-07-31 10:59:07.701082300,0.014082300,0,0,0,1,0
'2026-07-31 10:59:07.701229300,0.014229300,0,0,0,0,1
'2026-07-31 10:59:07.701232300,0.014232300,0,0,0,1,0
'2026-07-31 10:59:07.701379300,0.014379300,0,0,0,0,1
'2026-07-31 10:59:07.701382300,0.014382300,0,0,0,1,0
'2026-07-31 10:59:07.701529300,0.014529300,0,0,0,0,1
'2026-07-31 10:59:07.701532300,0.014532300,0,0,0,1,0
'2026-07-31 10:59:07.701679300,0.014679300,0,0,0,0,1
'2026-07-31 10:59:07.701682300,0.014682300,0,0,0,1,0
'2026-07-31 10:59:07.701829300,0.014829300,0,0,0,0,1
'2026-07-31 10:59:07.701832300,0.014832300,0,0,0,1,0
'2026-07-31 10:59:07.701979300,0.014979300,0,0,0,0,1
'2026-07-31 10:59:07.701982300,0.014982300,0,0,0,1,0
'2026-07-31 10:59:07.702129300,0.015129300,0,0,0,0,1
'2026-07-31 10:59:07.702132300,0.015132300,0,0,0,1,0
'2026-07-31 10:59:07.702279300,0.015279300,0,0,0,0,1
'2026-07-31 10:59:07.702282300,0.015282300,0,0,0,1,0
'2026-07-31 10:59:07.702429300,0.015429300,0,0,0,0,1
'2026-07-31 10:59:07.702432300,0.015432300,0,0,0,1,0
'2026-07-31 10:59:07.702579300,0.015579300,0,0,0,0,1
'2026-07-31 10:59:07.702582300,0.015582300,0,0,0,1,0
'2026-07-31 10:59:07.702729300,0.015729300,0,0,0,0,1
'2026-07-31 10:59:07.702732300,0.015732300,0,0,0,1,0
'2026-07-31 10:59:07.702879300,0.015879300,0,0,0,0,1
'2026-07-31 10:59:07.702882300,0.015882300,0,0,0,1,0
'2026-07-31 10:59:07.703029300,0.016029300,0,0,0,0,1
'2026-07-31 10:59:07.703032300,0.016032300,0,0,0,1,0
'2026-07-31 10:59:07.703179300,0.016179300,0,0,0,0,1
'2026-07-31 10:59:07.703182300,0.016182300,0,0,0,1,0
'2026-07-31 10:59:07.703329300,0.016329300,0,0,0,0,1
'2026-07-31 10:59:07.703332300,0.016332300,0,0,0,1,0
'2026-07-31 10:59:07.703479300,0.016479300,0,0,0,0,1
'2026-07-31 10:59:07.703482300,0.016482300,0,0,0,1,0
'2026-07-31 10:59:07.703629300,0.016629300,0,0,0,0,1
'2026-07-31 10:59:07.703632300,0.016632300,0,0,0,1,0
'2026-07-31 10:59:07.703779300,0.016779300,0,0,0,0,1
'2026-07-31 10:59:07.703782300,0.016782300,0,0,0,1,0
'2026-07-31 10:59:07.703929300,0.016929300,0,0,0,0,1
'2026-07-31 10:59:07.703932300,0.016932300,0,0,0,1,0
'2026-07-31 10:59:07.704079300,0.017079300,0,0,0,0,1
'2026-07-31 10:59:07.704082300,0.017082300,0,0,0,1,0
'2026-07-31 10:59:07.704229300,0.017229300,0,0,0,0,1
'2026-07-31 10:59:07.704232300,0.017232300,0,0,0,1,0
'2026-07-31 10:59:07.704379300,0.017379300,0,0,0,0,1
'2026-07-31 10:59:07.704382300,0.017382300,0,0,0,1,0
'2026-07-31 10:59:07.704529300,0.017529300,0,0,0,0,1
'2026-07-31 10:59:07.704532300,0.017532300,0,0,0,1,0
'2026-07-31 10:59:07.704679300,0.017679300,0,0,0,0,1
'2026-07-31 10:59:07.704682300,0.017682300,0,0,0,1,0
'2026-07-31 10:59:07.704829300,0.017829300,0,0,0,0,1
'2026-07-31 10:59:07.704832300,0.017832300,0,0,0,1,0
'2026-07-31 10:59:07.704979300,0.017979300,0,0,0,0,1
'2026-07-31 10:59:07.704982300,0.017982300,0,0,0,1,0
'2026-07-31 10:59:07.705129300,0.018129300,0,0,0,0,1
'2026-07-31 10:59:07.705132300,0.018132300,0,0,0,1,0
'2026-07-31 10:59:07.705279300,0.018279300,0,0,0,0,1
'2026-07-31 10:59:07.705282300,0.018282300,0,0,0,1,0
'2026-07-31 10:59:07.705429300,0.018429300,0,0,0,0,1
'2026-07-31 10:59:07.705432300,0.018432300,0,0,0,1,0
'2026-07-31 10:59:07.705579300,0.018579300,0,0,0,0,1
'2026-07-31 10:59:07.705582300,0.018582300,0,0,0,1,0
'2026-07-31 10:59:07.705729300,0.018729300,0,0,0,0,1
'2026-07-31 10:59:07.705732300,0.018732300,0,0,0,1,0
'2026-07-31 10:59:07.705879300,0.018879300,0,0,0,0,1
'2026-07-31 10:59:07.705882300,0.018882300,0,0,0,1,0
'2026-07-31 10:59:07.706029300,0.019029300,0,0,0,0,1
'2026-07-31 10:59:07.706032300,0.019032300,0,0,0,1,0
'2026-07-31 10:59:07.706179300,0.019179300,0,0,0,0,1
'2026-07-31 10:59:07.706182300,0.019182300,0,0,0,1,0
'2026-07-31 10:59:07.706329300,0.019329300,0,0,0,0,1
'2026-07-31 10:59:07.706332300,0.019332300,0,0,0,1,0
'2026-07-31 10:59:07.706479300,0.019479300,0,0,0,0,1
'2026-07-31 10:59:07.706482300,0.019482300,0,0,0,1,0
