; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-05 17:53:45
; Channels (8/16)
; ChannelsType: 255
; Sample rate: 100 MHz
; Sample count: 47.683716 M
; Sampling time: 2026-08-05 17:53:30.124
SystemTime, Time(s), roic_reset_p1, sync_p1             , aclk_p1, dout_n_A1, dclk_n_A1, dclk_p_A1, spi_sdo_p1, dout_p_A1
'2026-08-05 17:53:30.239291540,0.046291540,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239291550,0.046291550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239291560,0.046291560,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239291570,0.046291570,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239291790,0.046291790,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239292910,0.046292910,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239292920,0.046292920,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293100,0.046293100,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293110,0.046293110,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293170,0.046293170,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293310,0.046293310,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293320,0.046293320,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293410,0.046293410,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293420,0.046293420,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293430,0.046293430,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293470,0.046293470,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293480,0.046293480,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293510,0.046293510,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293520,0.046293520,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239293550,0.046293550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239293600,0.046293600,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239294720,0.046294720,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239294730,0.046294730,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239294780,0.046294780,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239295410,0.046295410,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239296530,0.046296530,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239296540,0.046296540,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239296550,0.046296550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239296890,0.046296890,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239296900,0.046296900,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239296930,0.046296930,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239296950,0.046296950,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239297220,0.046297220,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239298340,0.046298340,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239298360,0.046298360,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239298520,0.046298520,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239298550,0.046298550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239298970,0.046298970,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239299010,0.046299010,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239299030,0.046299030,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239300150,0.046300150,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239300160,0.046300160,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239300170,0.046300170,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239300200,0.046300200,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239300270,0.046300270,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239300330,0.046300330,0,1,0,1,1,0,0,0
